variant,scenario,algorithm,distance_mean,distance_ci_low,distance_ci_high,wait_mean,wait_ci_low,wait_ci_high,pdelay_mean,pdelay_ci_low,pdelay_ci_high,runtime_ms_mean,reservation_accept_rate,fairness_jain,reservation_rejection_rate,load_multiplier,top_k_sampled,weights_distance,weights_wait,weights_cost
erlang_sensitivity,mixed,nearest,2.6945968,2.5473813399999994,2.844283115,126016.65266915428,99964.96121597322,156014.36469673557,0.3336443500295539,0.3048867808449012,0.3641077728699396,0.8358062660117866,0.692,0.0415987220872574,0.33,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,nearest,2.6945968,2.5473813399999994,2.844283115,126016.65266915428,99964.96121597322,156014.36469673557,0.3336443500295539,0.3048867808449012,0.3641077728699396,0.8358062660117866,0.692,0.0522280485511939,0.3,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,nearest,2.6945968,2.5473813399999994,2.844283115,126016.65266915428,99964.96121597322,156014.36469673557,0.3336443500295539,0.3048867808449012,0.3641077728699396,0.8358062660117866,0.692,0.0461178033167924,0.34,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,nearest,2.6945968,2.5473813399999994,2.844283115,126016.65266915428,99964.96121597322,156014.36469673557,0.3336443500295539,0.3048867808449012,0.3641077728699396,0.8358062660117866,0.692,0.0504764981424648,0.31,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,queue_aware,3.003008,2.86050093,3.14872794,218003.3916317837,183952.71955240707,256003.21514473655,0.28189350899381127,0.24593009526588452,0.3159556501088855,2.1040472600143403,0.876,0.0287935502447451,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,queue_aware,3.003008,2.86050093,3.14872794,218003.3916317837,183952.71955240707,256003.21514473655,0.28189350899381127,0.24593009526588452,0.3159556501088855,2.1040472600143403,0.876,0.0240643770214076,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,queue_aware,3.003008,2.86050093,3.14872794,218003.3916317837,183952.71955240707,256003.21514473655,0.28189350899381127,0.24593009526588452,0.3159556501088855,2.1040472600143403,0.876,0.0285946310720699,0.02,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,queue_aware,3.003008,2.86050093,3.14872794,218003.3916317837,183952.71955240707,256003.21514473655,0.28189350899381127,0.24593009526588452,0.3159556501088855,2.1040472600143403,0.876,0.0461178033167924,0.29,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,queue_aware,3.003008,2.86050093,3.14872794,218003.3916317837,183952.71955240707,256003.21514473655,0.28189350899381127,0.24593009526588452,0.3159556501088855,2.1040472600143403,0.876,0.0504764981424648,0.31,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,range_aware,5.348358599999999,5.191414020000001,5.512983634999999,5.4853283594305196e-11,1.4688170021642152e-16,2.1936242242117428e-10,1.5770579909762543e-11,6.663390968677975e-17,4.770545193421096e-11,1.7639148020680295,1.0,0.0033781455602384,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,range_aware,5.348358599999999,5.191414020000001,5.512983634999999,5.4853283594305196e-11,1.4688170021642152e-16,2.1936242242117428e-10,1.5770579909762543e-11,6.663390968677975e-17,4.770545193421096e-11,1.7639148020680295,1.0,0.0033781455602384,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,range_aware,5.348358599999999,5.191414020000001,5.512983634999999,5.4853283594305196e-11,1.4688170021642152e-16,2.1936242242117428e-10,1.5770579909762543e-11,6.663390968677975e-17,4.770545193421096e-11,1.7639148020680295,1.0,0.0033781455602384,0.0,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,range_aware,5.348358599999999,5.191414020000001,5.512983634999999,5.4853283594305196e-11,1.4688170021642152e-16,2.1936242242117428e-10,1.5770579909762543e-11,6.663390968677975e-17,4.770545193421096e-11,1.7639148020680295,1.0,0.0033112582781456,0.0,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,range_aware,5.348358599999999,5.191414020000001,5.512983634999999,5.4853283594305196e-11,1.4688170021642152e-16,2.1936242242117428e-10,1.5770579909762543e-11,6.663390968677975e-17,4.770545193421096e-11,1.7639148020680295,1.0,0.0033781455602384,0.0,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
